,soil_moisture,soil_temperature,env_humidity,env_temperature,precipitations_mm,et0_fao,irrigation_status
74,30.66,25.4,90.0,19.6,23.4,0.146944444444444,2
75,30.66,25.4,89.0,19.6,23.4,0.146944444444444,2
76,30.6,25.4,88.0,19.4,23.4,0.146944444444444,2
77,30.6,25.3,88.0,19.4,23.4,0.146944444444444,2
78,30.6,25.3,88.5,19.1,23.4,0.146944444444444,2
79,30.6,25.2,88.0,18.8,23.4,0.146944444444444,2
80,30.6,25.2,89.0,18.6,23.4,0.146944444444444,2
81,30.6,25.2,89.5,18.4,23.4,0.146944444444444,2
82,30.6,25.1,90.5,18.3,23.4,0.146944444444444,2
83,30.53,25.1,91.0,18.4,23.4,0.146944444444444,2
84,30.53,25.1,91.0,18.4,23.4,0.146944444444444,2
85,30.53,25.0,90.0,18.9,23.4,0.146944444444444,2
86,30.53,25.0,89.5,19.3,23.4,0.146944444444444,2
87,30.47,24.9,89.0,19.6,23.4,0.146944444444444,2
88,30.47,24.9,87.5,20.0,23.4,0.146944444444444,2
89,30.47,24.9,86.5,20.3,23.4,0.146805555555556,2
90,30.47,24.8,84.0,21.2,23.4,0.146805555555556,2
91,30.47,24.8,80.5,22.5,23.4,0.146805555555556,2
92,30.47,24.8,77.0,23.5,23.4,0.146805555555556,2
93,30.47,24.8,74.0,23.8,23.4,0.146805555555556,2
94,30.47,24.8,71.0,24.7,23.4,0.146805555555556,2
95,30.41,24.8,68.0,25.4,23.4,0.146666666666667,2
96,30.41,24.8,68.0,25.4,23.4,0.146666666666667,2
97,30.41,24.8,61.5,27.0,23.4,0.146666666666667,2
98,30.41,24.8,60.5,27.5,23.4,0.146666666666667,2
99,30.41,24.9,65.0,26.2,23.4,0.146666666666667,2
100,30.41,24.9,62.0,26.7,23.4,0.146666666666667,2
101,30.41,25.0,61.0,27.6,20.9,0.147361111111111,2
102,30.41,25.1,61.5,26.8,20.9,0.147361111111111,2
103,30.41,25.1,63.0,26.3,20.9,0.147361111111111,2
104,30.41,25.2,63.0,25.9,20.9,0.147361111111111,2
105,30.41,25.3,62.5,26.3,20.9,0.147361111111111,2
106,30.33,25.3,62.5,26.1,20.9,0.147361111111111,2
107,30.33,25.4,60.5,26.0,20.3,0.149722222222222,2
